,Names,Description
456,457. Restaurant & consumer data, The dataset was obtained from a recommender system prototype. The task was to generate a top-n list of restaurants according to the consumer preferences.
457,"458. Reuters RCV1 RCV2 Multilingual, Multiview Text Categorization Test collection"," This test collection contains feature characteristics of documents originally written in five different languages and their translations, over a common set of 6 categories."
458,459. Reuters Transcribed Subset, This dataset is created by reading out 200 files from the 10 largest Reuters classes and using an Automatic Speech Recognition system to create corresponding transcriptions.
459,460. Reuters-21578 Text Categorization Collection, This is a collection of documents that appeared on Reuters newswire in 1987. The documents were assembled and indexed with categories.
460,461. Reuter_50_50, The dataset is used for authorship identification in online Writeprint which is a new research field of pattern recognition.
461,462. REWEMA, REWEMA (Retrieval of 32-bit Windows Architecture Executables Applied to Malware Analysis) can be used in Artificial intelligence-based antivirus.
462,463. Rice (Cammeo and Osmancik)," A total of 3810 rice grain's images were taken for the two species, processed and feature inferences were made. 7 morphological features were obtained for each grain of rice."
463,464. Rice Leaf Diseases, There are three classes/diseases
464,465. Risk Factor prediction of Chronic Kidney Disease, Chronic kidney disease (CKD) is an increasing medical issue that declines the productivity of renal capacities and subsequently damages the kidneys.
465,466. Robot Execution Failures, This dataset contains force and torque measurements on a robot after failure detection. Each failure is characterized by 15 force/torque samples collected at regular time intervals
466,467. Rocket League Skillshots Data Set," This dataset contains data of players of the game Rocket League, performing different skillshots."
467,468. Roman Urdu Data Set, Roman Urdu (the scripting style for Urdu language) is one of the limited resource languages.A data corpus comprising of more than 20000 records was collected.
468,469. Roman Urdu Sentiment Analysis Dataset (RUSAD), The dataset was gathered to carry out research on the task of sentiment analysis for Roman Urdu.
469,470. Room Occupancy Estimation," Data set for estimating the precise number of occupants in a room using multiple non-intrusive environmental sensors like temperature, light, sound, CO2 and PIR."
470,471. Russian Corpus of Biographical Texts, Sentence classification (Russian). The corpus contains Wikipedia texts splitted into sentences/ Each sentence has a topic label.
471,472. Sales_Transactions_Dataset_Weekly, Contains weekly purchased quantities of 800 over products over 52 weeks. Normalised values are provided too.
472,473. Sattriya_Dance_Single_Hand_Gestures Dataset, The Sattriya_Dance_Single_Hand_Gestures dataset contains 1450 images of 29 Sattriya dance single-hand gestures consisting 50 samples from each hasta.
473,474. SCADI, First self-care activities dataset based on ICF-CY.
474,475. SECOM, Data from a semi-conductor manufacturing process
475,476. Secondary Mushroom Dataset, Dataset of simulated mushrooms for binary classification into edible and poisonous.
476,477. seeds," Measurements of geometrical properties of kernels belonging to three different varieties of wheat. A soft X-ray technique and GRAINS package were used to construct all seven, real-valued attributes."
477,478. seismic-bumps, The data describe the problem of high energy (higher than 10^4 J) seismic bumps forecasting in a coal mine. Data come from two of longwalls located in a Polish coal mine.
478,479. selfBACK, The SELFBACK dataset is a Human Activity Recognition Dataset of 9 activity classes recorded with two tri-axial accelerometers.
479,480. Semeion Handwritten Digit," 1593 handwritten digits from around 80 persons were scanned, stretched in a rectangular box 16x16 in a gray scale of 256 values."
480,481. sEMG for Basic Hand movements, The sEMG for Basic Hand movements includes 2 databases of surface electromyographic signals of 6 hand movements using Delsys' EMG System. Healthy subjects conducted six daily life grasps.
481,482. Sentence Classification," Contains sentences from the abstract and introduction of 30 articles annotated with a modified Argumentative Zones annotation scheme. These articles come from biology, machine learning and psychology."
482,483. sentiment analysis in Saudi Arabia about distance education during Covid-19 ," The data were collected from Twitter. About distance education in Saudi Arabia due to Covid-19 pandemic. Data were gathered from Sep 2 to 17, 2020. Arabic Tweets classified as positive or negative."
483,484. Sentiment Labelled Sentences, The dataset contains sentences labelled with positive or negative sentiment.
484,485. Seoul Bike Sharing Demand, The dataset contains count of public bikes rented at each hour in Seoul Bike haring System with the corresponding Weather data and Holidays information
485,486. Sepsis survival minimal clinical records," This dataset collection contains minimal health records of 110,204 admissions (primary cohort), 19,051 admissions (study cohort), and 137 admissions (validation cohort) of patients who had sepsis."
486,487. ser Knowledge Modeling Data (Students' Knowledge Levels on DC Electrical Machines), The dataset is about the users' learning activities and knowledge levels on subjects of DC Electrical Machines. The dataset had been obtained from online web-courses and reported in my Ph.D. Thesis.
487,488. Servo, Data was from a simulation of a servo system
488,489. SGEMM GPU kernel performance, Running times for multiplying two 2048 x 2048 matrices using a GPU OpenCL SGEMM kernel with varying parameters (using the library 'CLTune').
489,490. Shill Bidding Dataset," We scraped a large number of eBay auctions of a popular product. After preprocessing the auction data, we build the SB dataset. The goal is to share the labelled SB dataset with the researchers."
490,491. Shoulder Implant Manufacture Classification, The multi-class classification data set consists of 597 de-identified raw images of X-ray scans showing implanted shoulder prostheses from four manufactures.
491,492. Shoulder Implant Manufacture Classification, The multi-class classification data set consists of 597 de-identified raw images of X-ray scans showing implanted shoulder prostheses from four manufactures.
492,493. Shoulder Implant X-Ray Manufacturer Classification, 597 de-identified raw X-ray scans of implanted shoulder prostheses from four manufactures.
493,494. Shoulder Implant X-Ray Manufacturer Classification, 597 de-identified raw X-ray scans of implanted shoulder prostheses from four manufactures.
494,495. Shuttle Landing Control, Tiny database; all nominal values
495,496. SIFT10M," In SIFT10M, each data point is a SIFT feature which is extracted from Caltech-256 by the open source VLFeat library. The corresponding patches of the SIFT features are provided."
496,497. Simulated data for survival modelling," A variety of survival data, with carefully controlled event and censor rates, is available to allow people to develop and test new approaches to survival modelling."
497,498. Simulated Falls and Daily Living Activities Data Set," 20 falls and 16 daily living activities were performed by 17 volunteers with 5 repetitions while wearing 6 sensors (3.060 instances) that attached to their head, chest, waist, wrist, thigh and ankle."
498,499. SkillCraft1 Master Table Dataset," This data was used in Thompson et al. (2013). A list of possible game actions is discussed in Thompson, Blair, Chen, & Henrey (2013)."
499,500. Skin Segmentation," The Skin Segmentation dataset is constructed over B, G, R color space. Skin and Nonskin dataset is generated using skin textures from face images of diversity of age, gender, and race people."
500,501. Smartphone Dataset for Human Activity Recognition (HAR) in Ambient Assisted Living (AAL), This data is an addition to an existing dataset on UCI. We collected more data to improve the accuracy of our human activity recognition algorithms applied in the domain of Ambient Assisted Living.
501,502. Smartphone-Based Recognition of Human Activities and Postural Transitions, Activity recognition data set built from the recordings of 30 subjects performing basic activities and postural transitions while carrying a waist-mounted smartphone with embedded inertial sensors.
502,503. SML2010, This dataset is collected from a monitor system mounted in a domotic house. It corresponds to approximately 40 days of monitoring data.
503,504. SMS Spam Collection, The SMS Spam Collection is a public set of SMS labeled messages that have been collected for mobile phone spam research.
504,505. Solar Flare, Each class attribute counts the number of solar flares of a certain class that occur in a 24 hour period
505,506. Somerville Happiness Survey, A data extract of a non-federal dataset posted here https
506,507. South German Credit, 700 good and 300 bad credits with 20 predictor variables. Data from 1973 to 1975. Stratified sample from actual credits with bad credits heavily oversampled. A cost matrix can be used.
507,508. South German Credit (UPDATE), 700 good and 300 bad credits with 20 predictor variables. Data from 1973 to 1975. Stratified sample from actual credits with bad credits heavily oversampled. A cost matrix can be used.
508,509. Soybean (Large), Michalski's famous soybean disease database
509,510. Soybean (Small), Michalski's famous soybean disease database
510,511. Spambase, Classifying Email as Spam or Non-Spam
511,512. Speaker Accent Recognition, Data set featuring single English words read by speakers from six different countries for accent detection and recognition
512,513. SPECT Heart, Data on cardiac Single Proton Emission Computed Tomography (SPECT) images. Each patient classified into two categories
513,514. SPECTF Heart, Data on cardiac Single Proton Emission Computed Tomography (SPECT) images. Each patient classified into two categories
514,515. Spoken Arabic Digit, This dataset contains timeseries of mel-frequency cepstrum coefficients (MFCCs) corresponding to spoken Arabic digits. Includes data from 44 male and 44 female native Arabic speakers.
515,516. Sponge, Data on sponges; Attributes in spanish
516,517. Sports articles for objectivity analysis," 1000 sports articles were labeled using Amazon Mechanical Turk as objective or subjective. The raw texts, extracted features, and the URLs from which the articles were retrieved are provided."
517,518. Statlog (Australian Credit Approval), This file concerns credit card applications. This database exists elsewhere in the repository (Credit Screening Database) in a slightly different form
518,519. Statlog (German Credit Data), This dataset classifies people described by a set of attributes as good or bad credit risks. Comes in two formats (one all numeric). Also comes with a cost matrix
519,520. Statlog (Heart), This dataset is a heart disease database similar to a database already present in the repository (Heart Disease databases) but in a slightly different form
520,521. Statlog (Image Segmentation), This dataset is an image segmentation database similar to a database already present in the repository (Image segmentation database) but in a slightly different form.
521,522. Statlog (Landsat Satellite)," Multi-spectral values of pixels in 3x3 neighbourhoods in a satellite image, and the classification associated with the central pixel in each neighbourhood"
522,523. Statlog (Shuttle), The shuttle dataset contains 9 attributes all of which are numerical. Approximately 80% of the data belongs to class 1
523,524. Statlog (Vehicle Silhouettes), 3D objects within a 2D image by application of an ensemble of shape feature extractors to the 2D silhouettes of the objects.
524,525. Statlog Project, Various Databases
525,526. Steel Industry Energy Consumption Dataset, The data is collected from a smart small-scale steel industry in South Korea.
526,527. Steel Industry Energy Consumption Dataset," Dataset attributes are lagging and leading current reactive power, the lagging and leading current power factor, carbon dioxide emissions, and load types. Timespan - 1year (365 days)"
527,528. Steel Plates Faults," A dataset of steel plates’ faults, classified into 7 different types. The goal was to train machine learning for automatic pattern recognition."
528,529. Stock keeping units," The dataset is provided by the “Trialto Latvia LTD”, the third-party logistics operator. Each observation stands for a distinct type of item for sale."
529,530. Stock keeping units," The dataset is provided by the “Trialto Latvia LTD”, the third-party logistics operator. Each observation stands for a distinct type of item for sale."
530,531. Stock portfolio performance, The data set of performances of weighted scoring stock portfolios are obtained with mixture design from the US stock market historical database.
531,532. StoneFlakes, Stone flakes are waste products of the stone tool production in the prehistoric era. The variables are means of geometric and stylistic features of the flakes contained in different inventories.
532,533. Student Academics Performance," The dataset tried to find the end semester percentage prediction based on different social, economic and academic attributes."
533,534. Student Loan Relational, Student Loan Relational Domain
534,535. Student Performance, Predict student performance in secondary education (high school).
535,536. Student Performance on an entrance examination, This dataset contains data of the candidates who qualified the medical entrance examination for admission to medical colleges of Assam of a particular year and collected by Prof. Jiten Hazarika.
536,537. Superconductivty Data, Two file s contain data on 21263 superconductors and their relevant features.
537,538. SUSY, This is a classification problem to distinguish between a signal process which produces supersymmetric particles and a background process which does not.
538,539. Swarm Behaviour," This dataset achieved from an online survey, which is run by UNSW, Australia. It contains three data of ' Flocking - Not Flocking', 'Aligned - Not Aligned', and 'Grouped - Not Grouped'."
539,540. Synchronous Machine Data Set, Synchronous motors (SMs) are AC motors with constant speed.A SM dataset is obtained from a real experimental set. The task is to create the strong models to estimate the excitation current of SM.
540,541. Synchronous Machine Data Set, Synchronous motors (SMs) are AC motors with constant speed.A SM dataset is obtained from a real experimental set. The task is to create the strong models to estimate the excitation current of SM.
541,542. Synthetic Control Chart Time Series, This data consists of synthetically generated control charts.
542,543. Syskill and Webert Web Page Ratings, This database contains HTML source of web pages plus the ratings of a single user on these web pages. Web pages are on four seperate subjects (Bands- recording artists; Goats; Sheep; and BioMedical)
543,544. Taiwanese Bankruptcy Prediction, The data were collected from the Taiwan Economic Journal for the years 1999 to 2009. Company bankruptcy was defined based on the business regulations of the Taiwan Stock Exchange.
544,545. Tamilnadu Electricity Board Hourly Readings, This data can be effectively produced the result to fewer parameter of the Load profile can be reduced in the Database
545,546. TamilSentiMix," We created a gold standard Tamil-English code-switched, sentiment-annotated corpus containing 15,744 comment posts from YouTube."
546,547. Tarvel Review Ratings, Google reviews on attractions from 24 categories across Europe are considered. Google user rating ranges from 1 to 5 and average user rating per category is calculated.
547,"548. Taxi Service Trajectory - Prediction Challenge, ECML PKDD 2015"," An accurate dataset describing trajectories performed by all the 442 taxis running in the city of Porto, in Portugal."
548,549. Teaching Assistant Evaluation," The data consist of evaluations of teaching performance; scores are ""low"", ""medium"", or ""high"""
549,550. Tennis Major Tournament Match Statistics, This is a collection of 8 files containing the match statistics for both women and men at the four major tennis tournaments of the year 2013. Each file has 42 columns and a minimum of 76 rows.
550,551. Thoracic Surgery Data, The data is dedicated to classification problem related to the post-operative life expectancy in the lung cancer patients
551,552. Thyroid Disease, 10 separate databases from Garavan Institute
552,553. Tic-Tac-Toe Endgame, Binary classification task on possible configurations of tic-tac-toe game
553,554. Traffic Flow Forecasting, The task for this dataset is to forecast the spatio-temporal traffic volume based on the historical traffic volume and other features in neighboring locations.
554,555. Trains," 2 data formats (structured, one-instance-per-line)"
555,556. Travel Reviews," Reviews on destinations in 10 categories mentioned across East Asia. Each traveler rating is mapped as Excellent(4), Very Good(3), Average(2), Poor(1), and Terrible(0) and average rating is used."
556,557. TTC-3600, Benchmark dataset for Turkish text categorization
557,558. TUANDROMD ( Tezpur University Android Malware Dataset), TUNADROMD dataset contains 4465 instances and 241 attributes. The target attribute for classification is a category (malware vs goodware). (N.B. This is the preprocessed version of TUANDROMD)
558,559. Turkish Headlines Dataset," Dataset consists of 7 news type labels. These labels are economy, politics, life, technology, magazine, health, sport. This dataset was created by me via Mynet, Milliyet, etc websites."
559,560. Turkish Music Emotion Dataset, There are four different classes of music emotions in the dataset
560,561. Turkish Spam V01, The TurkishSpam data set contains spam and normal emails written in Turkish.
561,562. Turkiye Student Evaluation, This data set contains a total 5820 evaluation scores provided by students from Gazi University in Ankara (Turkey). There is a total of 28 course specific questions and additional 5 attributes.
562,563. TV News Channel Commercial Detection Dataset, TV Commercials data set consists of standard audio-visual features of video shots extracted from 150 hours of TV news broadcast of 3 Indian and 2 international news channels ( 30 Hours each).
563,564. Twenty Newsgroups, This data set consists of 20000 messages taken from 20 newsgroups.
564,565. Twin gas sensor arrays, 5 replicates of an 8-MOX gas sensor array were exposed to different gas conditions (4 volatiles at 10 concentration levels each).
565,566. Twitter Data set for Arabic Sentiment Analysis, This problem of Sentiment Analysis (SA) has been studied well on the English language but not Arabic one. Two main approaches have been devised
566,567. UbiqLog (smartphone lifelogging), UbiqLog is the smartphone lifelogging tool that runs on the smartphone of 35 users for about 2 months.
567,568. UJI Pen Characters, Data consists of written characters in a UNIPEN-like format
568,569. UJI Pen Characters (Version 2), A pen-based database with more than 11k isolated handwritten characters
569,570. UJIIndoorLoc, The UJIIndoorLoc is a Multi-Building Multi-Floor indoor localization database to test Indoor Positioning System that rely on WLAN/WiFi fingerprint.
570,571. UJIIndoorLoc-Mag, The UJIIndoorLoc-Mag is an indoor localization database to test Indoor Positioning System that rely on Earth's magnetic field variations.
571,572. Ultrasonic flowmeter diagnostics, Fault diagnosis of four liquid ultrasonic flowmeters
572,573. Undocumented, Various datasets without documentation (feel free to explore!)
573,574. University, Data in original (LISP-readable) form
574,575. University of Tehran Question Dataset 2016 (UTQD.2016), Persian questions gathered from a jeopardy game broadcasted on Iranian national television.
575,576. UNIX User Data, This file contains 9 sets of sanitized user data drawn from the command histories of 8 UNIX computer users at Purdue over the course of up to 2 years.
576,577. Unmanned Aerial Vehicle (UAV) Intrusion Detection," For UAV identification, each input is an encrypted WiFi traffic record while the output is whether the current traffic is from a UAV or not. Meta-info on attribute relationship is also provided."
577,578. Unmanned Aerial Vehicle (UAV) Intrusion Detection," For UAV identification, each input is an encrypted WiFi traffic record while the output is whether the current traffic is from a UAV or not. Meta-info on attribute relationship is also provided."
578,579. Urban Land Cover, Classification of urban land cover using high resolution aerial imagery. Intended to assist sustainable urban planning efforts.
579,"580. UrbanGB, urban road accidents coordinates labelled by the urban center"," Coordinates (longitude and latitude) of 360177 road accidents occurred in urban areas in Great Britain, and labelled according to the urban center where they occurred (469 possible labels)."
580,581. URL Reputation, Anonymized 120-day subset of the ICML-09 URL data containing 2.4 million examples and 3.2 million features.
581,582. US Census Data (1990), The USCensus1990raw data set contains a one percent sample of the Public Use Microdata Samples (PUMS) person records drawn from the full 1990 census sample.
582,583. User Identification From Walking Activity, The dataset collects data from an Android smartphone positioned in the chest pocket from 22 participants walking in the wild over a predefined path.
583,584. User Knowledge Modeling, It is the real dataset about the students' knowledge status about the subject of Electrical DC Machines. The dataset had been obtained from Ph.D. Thesis.
584,585. User Profiling and Abusive Language Detection Dataset, The user profiling dataset is a collection of abusive users tweets and also their user following and user follower tweets. The Abusive language detection dataset is a collection of abusive tweets.
585,"586. USPTO Algorithm Challenge, run by NASA-Harvard Tournament Lab and TopCoder Problem", Pat
586,587. Vehicle routing and scheduling problems, Data collection was conducted through notes taken during the distribution of orders in a courier company that operates in the region and in the city of São Paulo (Brazil).
587,588. Vertebral Column," Data set containing values for six biomechanical features used to classify orthopaedic patients into 3 classes (normal, disk hernia or spondilolysthesis) or 2 classes (normal or abnormal)."
588,589. Vicon Physical Action Data Set, The Physical Action Data Set includes 10 normal and 10 aggressive physical actions that measure the human activity. The data have been collected by 10 subjects using the Vicon 3D tracker.
589,590. Victorian Era Authorship Attribution," To create the largest authorship attribution dataset, we extracted works of 50 well-known authors. To have a non-exhaustive learning, in training there are 45 authors whereas, in the testing, it's 50"
590,591. Volcanoes on Venus - JARtool experiment, The JARtool project was a pioneering effort to develop an automatic system for cataloging small volcanoes in the large set of Venus images returned by the Magellan spacecraft.
591,592. Wall-Following Robot Navigation Data," The data were collected as the SCITOS G5 robot navigates through the room following the wall in a clockwise direction, for 4 rounds, using 24 ultrasound sensors arranged circularly around its 'waist'."
592,593. Water Quality Prediction, The goal is to predict the spatio-temporal water quality in terms of the “power of hydrogen (pH)” value for the next day based on the historical data of water measurement indices.
593,594. Water Treatment Plant, Multiple classes predict plant state
594,595. Wave Energy Converters, This data set consists of positions and absorbed power outputs of wave energy converters (WECs) in four real wave scenarios from the southern coast of Australia.
595,596. Wave Energy Converters, This data set consists of positions and absorbed power outputs of wave energy converters (WECs) in four real wave scenarios from the southern coast of Australia.
596,597. Waveform Database Generator (Version 1), CART book's waveform domains
597,598. Waveform Database Generator (Version 2), CART book's waveform domains
598,599. Wearable Computing, Classification of Body Postures and Movements (PUC-Rio)
599,600. Website Phishing,
600,601. Weight Lifting Exercises monitored with Inertial Measurement Units, Six young health subjects were asked to perform 5 variations of the biceps curl weight lifting exercise. One of the variations is the one predicted by the health professional.
601,602. WESAD (Wearable Stress and Affect Detection)," WESAD (Wearable Stress and Affect Detection) contains data of 15 subjects during a stress-affect lab study, while wearing physiological and motion sensors."
602,603. Wheat kernels," Measurements of morphological descriptors of wheat kernels from Punjab State. A machine Learning based technique was used to extract 15 features, all are real valued attributes"
603,604. Wholesale customers, The data set refers to clients of a wholesale distributor. It includes the annual spending in monetary units (m.u.) on diverse product categories
604,605. wiki4HE, Survey of faculty members from two Spanish universities on teaching uses of Wikipedia
605,606. Wikipedia Math Essentials, Contains Wikipedia pages about popular mathematics topics and the edges describe the links from one page to another. Features describe the number of daily visits between 2019 and 2021 March.
606,607. Wikipedia Math Essentials, Contains Wikipedia pages about popular mathematics topics and the edges describe the links from one page to another. Features describe the number of daily visits between 2019 and 2021 March.
607,608. Wilt," High-resolution Remote Sensing data set (Quickbird). Small number of training samples of diseased trees, large number for other land cover. Testing data set from stratified random sample of image."
608,609. Wine, Using chemical analysis determine the origin of wines
609,610. Wine Quality," Two datasets are included, related to red and white vinho verde wine samples, from the north of Portugal. The goal is to model wine quality based on physicochemical tests (see [Cortez et al., 2009], http"
610,611. Wireless Indoor Localization, Collected in indoor space by observing signal strengths of seven WiFi signals visible on a smartphone. The decision variable is one of the four rooms.
611,612. WISDM Smartphone and Smartwatch Activity and Biometrics Dataset , Contains accelerometer and gyroscope time-series sensor data collected from a smartphone and smartwatch as 51 test subjects perform 18 activities for 3 minutes each.
612,613. Wisesight Sentiment Corpus," Social media messages in Thai language with sentiment label (positive, neutral, negative, question)."
613,614. Yacht Hydrodynamics," Delft data set, used to predict the hydodynamic performance of sailing yachts from dimensions and velocity."
614,615. YearPredictionMSD," Prediction of the release year of a song from audio features. Songs are mostly western, commercial tracks ranging from 1922 to 2011, with a peak in the year 2000s."
615,616. Yeast, Predicting the Cellular Localization Sites of Proteins
616,617. YouTube Comedy Slam Preference Data, This dataset provides user vote data on which video from a pair of videos is funnier collected on YouTube Comedy Slam. The task is to automatically predict this preference based on video metadata.
617,618. Youtube cookery channels viewers comments in Hinglish, The datasets are taken from top 2 Indian cooking channel named Nisha Madhulika channel and Kabita’s Kitchen channel. The data set is in Hinglish Language.
618,619. YouTube Multiview Video Games Dataset," This dataset contains about 120k instances, each described by 13 feature types, with class information, specially useful for exploring multiview topics (cotraining, ensembles, clustering,..)."
619,620. YouTube Spam Collection," It is a public set of comments collected for spam research. It has five datasets composed by 1,956 real messages extracted from five videos that were among the 10 most viewed on the collection period."
620,621. Z-Alizadeh Sani, It was collected for CAD diagnosis.
621,622. Zoo," Artificial, 7 classes of animals"
